username,message_content,mentions,channel_name,time_stamp
k3nn.eth,Gm !!,,🌞gm,"01/02/2022, 19:49:04"
k3nn.eth,"I can speak to this. Opscentia is trying to be THE DAO for open science. They have various ventures from funding research to fellowships to funding web3 science projects. The latest development I’ve heard from them is they are working on v-scholar which is their DeSci database and publication protocol. They also are working on CORAL which is an extension of the OCEAN protocol for data management. They have been around for some time now (couple years I believe) and they are actually backed by a non-profit which is what they leverage to gain access to grant funding. So they are truly a non-profit that operates like a DAO with a community that can vote on activities. 

OpenAccessDAO is much newer and originally had the plan of crowdsourcing funds and buying a journal to make all the work open access. That quickly became realized as not feasible mostly because journals are an organization of themselves and would require some sort of maintenance to actually keep it running. Instead the community voted on a new project which is to build their own tokenomics system for incentivizing open access work. Personally I think this is going to be a challenge for many reasons, not that it isn’t doable, but there are many many things to think through when building something like this and to make it truly open will probably require partnerships with other DAOs. My main problem with them is that they may have taken on more than they can chew with a project like this, but I’m continuing to watch from the sidelines to see how things develop. Openscientia already has a grant protocol on their website we could apply for but OpenAccessDAO is too early. There can definitely be potential partnership opportunities though — like us publishing within their system if they can successfully build it. Same goes for Opsientia with their systems. 

I am in contact with both DAOs and could reach out. Anything specific we wanted to lead with?",saulthorin,🌈general,"01/03/2022, 04:49:16"
k3nn.eth,I'm all for getting some content production + social media going. I don't think I'm the right person to take lead on it [never been a marketing guy] but could certainly help with the production of content. Happy to tag up and talk more in detail on this.,bigviking,🌈general,"01/03/2022, 04:51:32"
k3nn.eth,I'm honored <a:9791rainbowdance:923754047213826058>,,🌻kudos,"01/03/2022, 04:55:26"
k3nn.eth,This was posted in Scott Alexander’s latest open thread and could be worth a shot: https://funds.effectivealtruism.org/apply-for-funding,,📈grants-squad,"01/03/2022, 05:20:02"
k3nn.eth,gm,,🌞gm,"01/03/2022, 17:16:09"
k3nn.eth,gm,,🌞gm,"01/03/2023, 16:15:16"
k3nn.eth,Relevant: https://open.spotify.com/episode/3IdmMizxDPHTUjRKqYrMzG?si=LTDsrlcIQdmCzBcHT1v43g,,📩comp-structure-perceptions-study,"01/04/2022, 16:41:41"
k3nn.eth,,,🪢general,"01/04/2022, 17:04:56"
k3nn.eth,Super exciting. Welcome all!,,🪢general,"01/04/2022, 17:04:57"
k3nn.eth,awesome! lmk how that goes,saulthorin,❤network-health,"01/04/2023, 02:40:31"
k3nn.eth,awesome update!,,talentdao,"01/04/2023, 18:07:09"
k3nn.eth,"would love to talk more details on monetization. we can already say that we’ve supported big names with the survey like MoonDAO and Gitcoin, and we should be getting the ball rolling with validation really soon. Once we have gitcoin data, i’m going to run some item reduction techniques on the data and make a dao health pulse v1 which should feel a lot more marketable since length is one of the biggest concerns",,talentdao,"01/04/2023, 18:09:38"
k3nn.eth,hmmmm,saulthorin,talentdao,"01/04/2023, 21:50:37"
k3nn.eth,a dashboard would be sick but would be a dev cost unless you just wanna build it in r-shiny,,talentdao,"01/04/2023, 21:50:59"
k3nn.eth,"I'll add a couple points here to get the conversation going. I think our website should be a place where people can 1) quickly understand what we are about, what we do, and a place for potential clients to contact us, and 2) quickly find links to various things associated with us e.g., discord, journal of decentralized work [when its up], and our notion page [when thats up]. I think we can then use notion as the place where people can find more detailed information, our roadmap, meetings notes, and the various other things we want to have publicly facing",lisawocken,🖥website,"01/05/2022, 04:45:24"
k3nn.eth,<@!702364443798929488> you should read the colony white paper. Colony operates as a company but layered governance technology into their work system so they can operate somewhat like a DAO. It's a really cool system they built and a good example of how traditional orgs can take some of the learnings of DAOs and apply them in their organizations.,bigviking,🌈general,"01/05/2022, 04:52:39"
k3nn.eth,"Now that you say this I think I agree. I think the message is right but the delivery doesn't hit in the way that says to me ""wow these guys are doing something big""",Blockpusher_J,talentdao,"01/05/2022, 04:59:14"
k3nn.eth,Gm !,,🌞gm,"01/05/2022, 15:44:57"
k3nn.eth,"Agree with you and Blockpusher_J#3137 here. A dynamic flywheel would be really cool but we should be sure to have the essentials. I agree with the sections you outlined, tho re: your vision comment in the other thread — I agree vision is the why but maybe more of an implied why because the vision is our vision for the future and what we want to achieve and that vision is why we do it.","Mr.Nobody, Blockpusher_J",🖥website,"01/05/2022, 15:48:26"
k3nn.eth,"Had a though last night that it might be good to do some legal research into how regulations might impact DAOs. For example, we may get away with paying people in crypto now, but eventually the gov might catch up and force people to fill out 1099s. I would imagine incorporating would also force some hands here. Could be an opportunity for us publish on the legal intricacies of running a DAO",,📄legal,"01/05/2022, 15:52:57"
k3nn.eth,Another is Anthem. A buddy of mind was a blockchain product manager for them and they were working on a blockchain Db for healthcare record keeping. He quit a year or so ago to join a startup and then just quit that startup to go full time DAO @ brightmoments 😂,,🌈general,"01/05/2022, 21:17:50"
k3nn.eth,Such a good point. There’s nothing wrong with changing things as we grow and the community can be leveraged to help make those decisions.,lisawocken,talentdao,"01/05/2022, 21:21:19"
k3nn.eth,Maybe we should propose a few options and put it to a vote?,,talentdao,"01/05/2022, 21:21:46"
k3nn.eth,“We are at the forefront of the greatest human coordination experiment of all time…” — I LOVE this line!,,talentdao,"01/05/2022, 21:51:00"
k3nn.eth,DUDE! Great stuff ItamarGo#1996 ! I think we should get that genesis piece published ASAP saulthorin#7696. Do you want to add your comments to the google doc? I’ll share it in the marketing channel for us to iterate. We could also port this stuff over to substack and use that as a community blog until we figure something better out for mirror. Our website can have a link to our substack so all of these pieces are in one place. I guess for now we can have the main author publish via mirror? (totally cool with you publishing the Genesis piece tho Saul since you did start it all),"ItamarGo, saulthorin",🎯general,"01/05/2022, 22:36:24"
k3nn.eth,But generally I think this is exactly the type of content we should be producing,,🎯general,"01/05/2022, 22:37:51"
k3nn.eth,Sounds good to me. I’ll share doc for community feedback a little bit later tn but feel free to post the link if u get to it before me. I think ur point about publishing under talentdao.eth makes sense. [If I’m understanding correctly] anyone who wants too (e.g. ItamarGo#1996) can publish associated content under their own ens domain and we can then port that back over to substack for redistribution and we don’t have to gatekeep if someone wants to publishing something of their own with the banner itmargo created. Then the first official talentdao.eth publishing on mirror can be an ironed out genesis post and (hopefully 🤞🏼) white paper soon after 😄. Lmk if this aligns with what you were thinking saulthorin#7696,"ItamarGo, saulthorin",🎯general,"01/05/2022, 23:49:18"
k3nn.eth,gm,,🌞gm,"01/05/2023, 14:38:35"
k3nn.eth,I can grant but is Blockpusher_J#3137 still paying for this? I wouldn’t want to add more cost on his bill without letting him know saulthorin#7696,"FINE, Blockpusher_J, saulthorin",🕸infrastructure,"01/05/2023, 15:44:48"
k3nn.eth,ahaha ok copy,,🕸infrastructure,"01/05/2023, 15:50:31"
k3nn.eth,ItamarGo#1996 I’m happy to share on twitter. Are you on twitter so I can tag you?,ItamarGo,🎯general,"01/06/2022, 00:07:02"
k3nn.eth,"So does this entail equity stake in some way? I’m not sure how other DAOs have done it, but I would imagine that there is some form of evaluation that can be converted to a % of token share down the line? I have some potential investors in mind and I know this is the first thing they will ask.",,talentdao,"01/06/2022, 01:09:47"
k3nn.eth,Makes sense! Glad your doing things the right way and working this through a legal counsel 👏🏼,,talentdao,"01/06/2022, 02:32:54"
k3nn.eth,I personally have a stylistic preference for the .lower() method 😂,sherifoz,🎨general,"01/06/2022, 03:52:58"
k3nn.eth,That’s tolower() for my R friends in the channel 😬,,🎨general,"01/06/2022, 03:54:06"
k3nn.eth,Sorry that was uncomfortably cheesy but I couldn’t resist,,🎨general,"01/06/2022, 03:54:34"
k3nn.eth,Great to have you here! and love the ens domain! I’m definitely NAL but I see a huge opportunity to publish and educate in this area. Especially while regulation is still grey. Would love to read what you’ve published at some point. Cheers!,notlegaladvice,👋introduction,"01/06/2022, 16:19:47"
k3nn.eth,Gm !,,🌞gm,"01/06/2022, 18:15:24"
k3nn.eth,"Do we see any issues in using the same token we use to pay people for governance? I know this tends to be counter to decentralization when core members have much more governance power than the rest of the community. Maybe that’s what we want, but it’s probably worth considering.",,talentdao,"01/06/2022, 18:23:51"
k3nn.eth,"And this might be a separate topic, but we might need an additional token for a decentralized peer review process, no? Or do we just run peer review like a multi-sig where x/y signatures are needed to accept a paper?",,talentdao,"01/06/2022, 18:26:22"
k3nn.eth,Thanks saulthorin#7696 your answers to these questions have been reassuring. And I agree with <@!713430239690096671> that I trust your judgement. I also really appreciate the transparency,"saulthorin, Nemo-phd",talentdao,"01/06/2022, 19:44:47"
k3nn.eth,waaaaaaah just seeing this now. Perfect timing,saulthorin,🥼general,"01/06/2023, 03:53:22"
k3nn.eth,gm,,🌞gm,"01/06/2023, 13:50:52"
k3nn.eth,just got my api key 🥰,saulthorin,🥼general,"01/06/2023, 17:34:43"
k3nn.eth,"Hey <@&909577548239884289> sharing the draft of the genesis piece here. This is very rough at this point, but would love to get everyones input on it. Feel free to tear it up! https://docs.google.com/document/d/1XsBhEXaz9WG0XHGlhwokp15NNHhI6aXe8g-a4ET48mw/edit?usp=sharing",,talentdao,"01/07/2022, 04:43:36"
k3nn.eth,Add your comments and tear it up!,Blockpusher_J,talentdao,"01/07/2022, 16:31:29"
k3nn.eth,Just wanted to get this going. I think it really should be a community piece at the end,,talentdao,"01/07/2022, 16:32:04"
k3nn.eth,It’s this DAO and you guys that’s inspiring me! 🤠,,talentdao,"01/07/2022, 19:18:43"
k3nn.eth,So we need responses specifically from those using Coordinape?,,📩comp-structure-perceptions-study,"01/07/2022, 19:42:48"
k3nn.eth,I have some DAOs I can try but not sure if they use it,,📩comp-structure-perceptions-study,"01/07/2022, 19:42:59"
k3nn.eth,"Yeah ok I some channels I can share this to. Will wait on the confirmations about this Q first. Also, if anyone has a little snippet they send along with the link to the survey that would be helpful",,📩comp-structure-perceptions-study,"01/07/2022, 19:45:24"
k3nn.eth,Wait how do u remove the embeds?,saulthorin,📩comp-structure-perceptions-study,"01/07/2022, 20:09:53"
k3nn.eth,I’m asking my buddy on the core team at BrightMoments to share with his team. They have like 30 people working at least part time and quite a few FT,,📩comp-structure-perceptions-study,"01/07/2022, 21:39:57"
k3nn.eth,"No harm in rethinking the whole thing if that’s what you think is best! Just think it would be good to have out there to introduce ourselves properly, especially if we’re going to get moving with social.",saulthorin,talentdao,"01/07/2022, 22:31:56"
k3nn.eth,"Interesting find! Although anecdotally [at least for my adhd brain], a little bit of deadline stress really gets me into productivity mode. But I’d also argue that productivity != performance.",ItamarGo,🏄random,"01/07/2022, 22:34:36"
k3nn.eth,"This is the best criticism of web3 I have read to date. The author comes from a place of direct experience building dApps of his own. I’m still a huge believer in web3, but my personal philosophy is that you should always ingest arguments from both sides, and this one is rich with information you might not even know about web3: https://moxie.org/2022/01/07/web3-first-impressions.html",,🏄random,"01/07/2022, 22:50:13"
k3nn.eth,"I’m still working through this, but this series is rich with insights from DAO research done by token kitchen, block science, and curve labs: https://medium.com/primedao/exploring-dao2dao-collaboration-mechanisms-c37218a17a21",,📑all-things-dao,"01/07/2022, 22:55:35"
k3nn.eth,The link to the first part of the series is at the top of the article,,📑all-things-dao,"01/07/2022, 22:56:00"
k3nn.eth,gm,,🌞gm,"01/07/2023, 15:18:51"
k3nn.eth,!!Server_to_DB,,talentdao,"01/07/2023, 20:04:51"
k3nn.eth,cashing our server for lion work since the dao dash db is now deprecated,,talentdao,"01/07/2023, 20:05:44"
k3nn.eth,early iterations,,talentdao,"01/07/2023, 20:16:45"
k3nn.eth,this is the network of top 5 users so mostly tdao core and their connections,,talentdao,"01/07/2023, 20:17:03"
k3nn.eth,Talented LION is the new bot btw,,talentdao,"01/07/2023, 20:30:46"
k3nn.eth,i’m working on getting us a DB set up once it’s up if anyone needs access lmk,,talentdao,"01/07/2023, 20:31:03"
k3nn.eth,yeah def going to train a model on proposals from that api,,talentdao,"01/07/2023, 22:34:25"
k3nn.eth,a db of what?,,talentdao,"01/07/2023, 22:40:26"
k3nn.eth,Gm,,🌞gm,"01/08/2022, 16:06:05"
k3nn.eth,This is actually coming at a perfect time for me while I'm working through a year end people analytics review. Thanks for sharing!,sherifoz,🏄random,"01/08/2022, 18:05:22"
k3nn.eth,Gm,,🌞gm,"01/09/2022, 15:38:12"
k3nn.eth,Wow I wasn’t aware of notion forms. We should def set this up. I was gonna leverage the api and like a shared google doc but this seems much easier 😅,Josep | Halborn,🕸infrastructure,"01/09/2022, 21:33:21"
k3nn.eth,"Yeah agree on this that we should prob share that doc outside of public channels. Not that I’m concerned with anyone in here, but probably good to keep credentials secure. sherifoz#7023","sherifoz, Josep | Halborn",🕸infrastructure,"01/09/2022, 21:35:36"
k3nn.eth,Sorry who is them in this context?,alsephina,🌈general,"01/09/2022, 21:36:49"
k3nn.eth,someone needs to write a decentralized analytics dashboard tool,saulthorin,talentdao,"01/09/2023, 16:18:53"
k3nn.eth,gm,,🌞gm,"01/09/2023, 16:19:12"
k3nn.eth,gm,,🌞gm,"01/09/2023, 16:31:57"
k3nn.eth,"honestly i think would be nice to build analytics products on top of labDAOs virtual lab infra. We’ll a lion demo in a couple weeks so u can see it but it’s a siiick jupyter notebook system that supports python, r, and julia",,talentdao,"01/09/2023, 16:34:17"
k3nn.eth,it’s an open source and decentralized protocol it’s not like we’d pay for it or that labDAO would own the IP. It’s like a google collab for web3 but way better,,talentdao,"01/09/2023, 17:01:54"
k3nn.eth,basically a tool for researchers and scientists to collaborate and rent compute for their models if needed,,talentdao,"01/09/2023, 17:03:43"
k3nn.eth,you could build the system un jupyter and then yes host on arweave or wherever u want,,talentdao,"01/09/2023, 17:04:15"
k3nn.eth,it’s just a tool,,talentdao,"01/09/2023, 17:04:17"
